moniker,centralised_exchange_wallet,remarks,val_address,acc_address,prop_69_vote,tokens,shares,ts_ratio,height
🐠stake.fish,,,cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0,cosmos1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u0tvx7u,VOTE_OPTION_NO,11483269054299,11483269054299,1,10562840
Binance Staking,yes,,cosmosvaloper156gqf9837u7d4c4678yt3rl4ls9c5vuursrrzf,cosmos156gqf9837u7d4c4678yt3rl4ls9c5vuuxyhkw6,VOTE_NIL,10586045577988,10589222018925,0.9997000308,10562840
Coinbase Custody,yes,,cosmosvaloper1a3yjj7d3qnx4spgvjcwjq9cw9snrrrhu5h6jll,cosmos1a3yjj7d3qnx4spgvjcwjq9cw9snrrrhu3rw8nv,VOTE_NIL,9160585568986,9160585568986,1,10562840
Kraken,yes,,cosmosvaloper1z8zjv3lntpwxua0rtpvgrcwl0nm0tltgpgs6l7,cosmos1z8zjv3lntpwxua0rtpvgrcwl0nm0tltgyuy0nd,VOTE_NIL,8898275385969,8898275385969,1,10562840
SG-1,,,cosmosvaloper196ax4vc0lwpxndu9dyhvca7jhxp70rmcvrj90c,cosmos196ax4vc0lwpxndu9dyhvca7jhxp70rmcfhxsrt,VOTE_OPTION_NO_WITH_VETO,8627275744052,8627275744052,1,10562840
DokiaCapital,,,cosmosvaloper14lultfckehtszvzw4ehu0apvsr77afvyju5zzy,cosmos14lultfckehtszvzw4ehu0apvsr77afvyhgqhwh,VOTE_OPTION_NO,7436852044959,7436852044959,1,10562840
Zero Knowledge Validator (ZKV),,,cosmosvaloper1v5y0tg0jllvxf5c3afml8s3awue0ymju89frut,cosmos1v5y0tg0jllvxf5c3afml8s3awue0ymjuz3aksc,VOTE_OPTION_NO,6559225763498,6559225763498,1,10562840
Paradigm,,Investment firm,cosmosvaloper19lss6zgdh5vvcpjhfftdghrpsw7a4434elpwpu,cosmos19lss6zgdh5vvcpjhfftdghrpsw7a4434ut4md0,VOTE_NIL,6478659865777,6478659865777,1,10562840
GAME,,,cosmosvaloper1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqgfnp42,cosmos1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqda85ee,VOTE_OPTION_NO,6381436983563,6381436983563,1,10562840
Sikka,,,cosmosvaloper1ey69r37gfxvxg62sh4r0ktpuc46pzjrm873ae8,cosmos1ey69r37gfxvxg62sh4r0ktpuc46pzjrmz29g45,VOTE_NIL,6032464458415,6033671122496,0.9998000116,10562840
Polychain,,Investment firm,cosmosvaloper14k4pzckkre6uxxyd2lnhnpp8sngys9m6hl6ml7,cosmos14k4pzckkre6uxxyd2lnhnpp8sngys9m6jtwwnd,VOTE_NIL,5633090069464,5633090069464,1,10562840
Everstake,,,cosmosvaloper1tflk30mq5vgqjdly92kkhhq3raev2hnz6eete3,cosmos1tflk30mq5vgqjdly92kkhhq3raev2hnzldd74z,VOTE_NIL,4997657796462,4997657796462,1,10562840
MultiChain ventures,,Investment company,cosmosvaloper1vf44d85es37hwl9f4h9gv0e064m0lla60j9luj,cosmos1vf44d85es37hwl9f4h9gv0e064m0lla62x32sp,VOTE_OPTION_YES,4606892786768,4607353519772,0.9999000005,10562840
Chorus One,,,cosmosvaloper15urq2dtp9qce4fyc85m6upwm9xul3049e02707,cosmos15urq2dtp9qce4fyc85m6upwm9xul3049um7trd,VOTE_OPTION_NO,3804656487334,3804656487334,1,10562840
Cosmostation,,,cosmosvaloper1clpqr4nrk4khgkxj78fcwwh6dl3uw4epsluffn,cosmos1clpqr4nrk4khgkxj78fcwwh6dl3uw4ep4tgu9q,VOTE_OPTION_NO,3779745860306,3779745860306,1,10562840
P2P.ORG - P2P Validator,,,cosmosvaloper132juzk0gdmwuxvx4phug7m3ymyatxlh9734g4w,cosmos132juzk0gdmwuxvx4phug7m3ymyatxlh9m9paea,VOTE_OPTION_YES,3685595038043,3685595038043,1,10562840
Citadel.one,,,cosmosvaloper1lzhlnpahvznwfv4jmay2tgaha5kmz5qxerarrl,cosmos1lzhlnpahvznwfv4jmay2tgaha5kmz5qxuhfk0v,VOTE_OPTION_NO,2998410775978,2998410775978,1,10562840
B-Harvest,,,cosmosvaloper10e4vsut6suau8tk9m6dnrm0slgd6npe3jx5xpv,cosmos10e4vsut6suau8tk9m6dnrm0slgd6npe3hjqndl,VOTE_OPTION_ABSTAIN,2582742878950,2582742878950,1,10562840
Certus One,,,cosmosvaloper1qwl879nx9t6kef4supyazayf7vjhennyh568ys,cosmos1qwl879nx9t6kef4supyazayf7vjhennyjqwjgr,VOTE_NIL,2542050741840,2542050741840,1,10562840
Cephalopod Equipment,,,cosmosvaloper16k579jk6yt2cwmqx9dz5xvq9fug2tekvlu9qdv,cosmos16k579jk6yt2cwmqx9dz5xvq9fug2tekv6g34pl,VOTE_OPTION_YES,2243570164861,2243794543431,0.9999000004,10562840
hashtower,,,cosmosvaloper1ma02nlc7lchu7caufyrrqt4r6v2mpsj90y9wzd,cosmos1ma02nlc7lchu7caufyrrqt4r6v2mpsj92s3mw7,VOTE_NIL,2031625014747,2031828196530,0.9999000005,10562840
InfStones,,Looks like they work with Binance https://infstones.com/,cosmosvaloper1sd4tl9aljmmezzudugs7zlaya7pg2895ws8tfs,cosmos1sd4tl9aljmmezzudugs7zlaya7pg2895tyn79r,VOTE_NIL,1990614539057,1990614539057,1,10562840
